"Name","Network Address","Device Location"
"IMPSC0124","10.217.224.1","IMPCHMON1"
"IMPSC0111","10.217.232.1","IMPCHOBE1"
"IMPSA0122","10.217.232.5","IMPCHOBE1"
"IMPSA0148","10.217.232.6","IMPCHOBE1"
"IMPSA0228","10.217.240.1","IMPCHBGG10"
"IMPSC0107","10.217.248.1","IMPCHPLO10"
"IMPSA0346","10.218.0.1","IMPCHPOS1"
"IMPSA0374","10.218.0.5","IMPCHPOS1"
"IMPSA0011","10.218.8.1","IMPCHRTZ1"
"IMPSC0007","10.218.16.1","IMPCHRMA1"
"IMPSA0016","10.218.16.5","IMPCHRMA1"
"IMPSA0018","10.218.16.6","IMPCHRMA1"
"IMPSA0019","10.218.16.7","IMPCHRMA1"
"IMPSA0017","10.218.16.8","IMPCHRMA1"
"IMPSC0151","10.218.16.9","IMPCHRMA1"
"IMPSC0145","10.218.24.1","IMPCHSAT1"
"IMPSC0114","10.218.32.1","IMPCHSAT2"
"IMPSA0124","10.218.32.5","IMPCHSAT2"
"IMPSA0125","10.218.32.6","IMPCHSAT2"
"IMPSA0126","10.218.32.7","IMPCHSAT2"
"IMPSA0127","10.218.32.8","IMPCHSAT2"
"IMPSC0146","10.218.40.1","IMPCHSCH1"
"IMPSA0147","10.218.48.1","IMPCHUSF1"
"IMPSA0146","10.218.56.1","IMPCHSNB10"
"IMPSC0117","10.218.64.1","IMPCHSBN1"
"IMPSA0010","10.218.72.1","IMPCHSRR1"
"IMPSC0118","10.218.80.1","IMPCHSIR1"
"IMPSC0149","10.218.88.1","IMPCHSOO1"
"IMPSC0116","10.218.96.1","IMPCHQGL2"
"IMPSA0128","10.218.96.5","IMPCHQGL2"
"IMPSC0115","10.218.104.1","IMPCHQGL1"
"IMPSC0153","10.218.112.1","IMPCHQGL13"
"IMPSA0354","10.218.120.1","IMPCHSMV1"
"IMPSC0143.implenia.com","10.218.128.1","IMPCHWZK10"
"IMPSC0119","10.218.136.1","IMPCHVTZ1"
"IMPSA0129","10.218.136.5","IMPCHVTZ1"
"IMPSA0130","10.218.136.6","IMPCHVTZ1"
"IMPSC0253","10.218.136.7","IMPCHVTZ1"
"IMPSC0120","10.218.144.1","IMPCHVIS1"
"IMPSC0003","10.218.152.1","IMPCHWLN1"
"IMPSA0002","10.218.152.5","IMPCHWLN1"
"IMPSA0003","10.218.152.6","IMPCHWLN1"
"IMPSA0004","10.218.152.7","IMPCHWLN1"
"IMPSA0008","10.218.152.8","IMPCHWLN1"
"IMPSA0012","10.218.152.12","IMPCHWLN1"
"IMPSA0137","10.218.152.13","IMPCHWLN1"
"IMPSA0136","10.218.152.14","IMPCHWLN1"
"IMPSA0009","10.218.152.15","IMPCHWLN1"
"IMPSA0155","10.218.152.18","IMPCHWLN1"
"IMPSC0213","10.218.152.19","IMPCHWLN1"
"IMPSC0122","10.218.168.1","IMPCHWIN1"
"IMPSA0132","10.218.168.5","IMPCHWIN1"
"IMPSC0008","10.218.176.1","IMPCHZNZ1"
"IMPSC0156","10.218.184.1","IMPCHZRH42"
"IMPSC0212","10.218.192.1","IMPCHZRH1"
"IMPSA0278","10.218.192.5","IMPCHZRH1"
"IMPSA0272","10.218.192.6","IMPCHZRH1"
"IMPSA0273","10.218.192.7","IMPCHZRH1"
"IMPSA0276","10.218.192.8","IMPCHZRH1"
"IMPSA0277","10.218.192.9","IMPCHZRH1"
"IMPSA0006","10.218.192.10","IMPCHZRH1"
"IMPSC0125","10.218.208.1","IMPCHZRH48"
"IMPSC0121","10.218.216.1","IMPCHZRH52"
"IMPSC0152","10.218.224.1","IMPCHTFN1"
"IMPSC0126","10.218.232.1","IMPCHRGF1"
"IMPSA0120","10.218.232.5","IMPCHRGF1"
"IMPSC0137","10.218.240.1","IMPCHVNR1"
"IMPSA0105","10.218.240.5","IMPCHVNR1"
