10.201.16.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.16.1,Wifi-Ph2Vl250,10.192.10.43
10.201.16.1,Wifi-Ph2Vl250,10.192.10.42
10.201.160.1,Default,10.225.0.88
10.201.160.1,Clients,10.192.10.42
10.201.160.1,Clients,10.192.10.43
10.201.160.1,Printer,10.192.10.42
10.201.160.1,Printer,10.192.10.43
10.201.160.1,Server,10.192.10.42
10.201.160.1,Server,10.192.10.43
10.201.160.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.160.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.160.1,Wifi-Ph2Vl250,10.192.10.43
10.201.160.1,Wifi-Ph2Vl250,10.192.10.42
10.201.168.1,Default,10.225.0.88
10.201.168.1,Clients,10.192.10.42
10.201.168.1,Clients,10.192.10.43
10.201.168.1,Clients,10.192.15.168
10.201.168.1,Printer,10.192.10.42
10.201.168.1,Printer,10.192.10.43
10.201.168.1,Server,10.192.10.42
10.201.168.1,Server,10.192.10.43
10.201.168.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.168.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.168.1,Wifi-Ph2Vl250,10.192.10.43
10.201.168.1,Wifi-Ph2Vl250,10.192.10.42
10.201.176.1,Default,10.225.0.88
10.201.176.1,Clients,10.192.10.42
10.201.176.1,Clients,10.192.10.43
10.201.176.1,Printer,10.192.10.42
10.201.176.1,Printer,10.192.10.43
10.201.176.1,Server,10.192.10.42
10.201.176.1,Server,10.192.10.43
10.201.176.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.176.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.176.1,Wifi-Ph2Vl250,10.192.10.43
10.201.176.1,Wifi-Ph2Vl250,10.192.10.42
10.201.192.1,Default,10.225.0.88
10.201.192.1,Clients,10.192.10.42
10.201.192.1,Clients,10.192.10.43
10.201.192.1,Printer,10.192.10.42
10.201.192.1,Printer,10.192.10.43
10.201.192.1,Server,10.192.10.42
10.201.192.1,Server,10.192.10.43
10.201.192.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.192.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.192.1,Wifi-Ph2Vl250,10.192.10.43
10.201.192.1,Wifi-Ph2Vl250,10.192.10.42
10.201.200.1,Default,10.225.0.88
